#chr1	x1	x2	chr2	y1	y2	P_val
chr1	3820000	3870000	chr1	4010000	4150000	1.352631926953217e-09
chr1	24230000	24260000	chr1	24370000	24490000	1.4731239631034207e-06
chr1	108840000	108890000	chr1	109010000	109290000	9.49352616403308e-19
chr1	24140000	24250000	chr1	24360000	24390000	4.973155449943922e-07
chr1	76610000	82390000	chr1	82390000	82460000	0.8875511814160094
chr1	107050000	108820000	chr1	108870000	108920000	1.259984908992188e-92
chr1	110250000	110310000	chr1	110490000	110500000	0.15292812865186634
chr1	198550000	199460000	chr1	199460000	199530000	0.9802189697810971
chr2	54370000	54380000	chr2	54640000	54700000	0.40934742908173855
chr2	182650000	182680000	chr2	182770000	182860000	0.007584597658744523
chr2	96120000	100350000	chr2	100350000	100400000	0.3955147466163189
chr2	226880000	226960000	chr2	227050000	227080000	0.0074249786621581335
chr3	75280000	75330000	chr3	75520000	75620000	0.14116684510738264
chr3	105250000	105320000	chr3	105320000	114780000	0.7903477014860818
chr3	105880000	105940000	chr3	105940000	109690000	0.3974389125403287
chr3	195380000	195430000	chr3	195620000	195780000	1.149661701056491e-06
chr3	25120000	25190000	chr3	25560000	25570000	0.07203684702684662
chr3	60210000	60280000	chr3	60380000	60390000	2.44810781118037e-07
chr4	30730000	30780000	chr4	30980000	31130000	0.01032863762404739
chr4	82360000	82430000	chr4	82430000	87220000	0.1543999191130082
chr4	164780000	164840000	chr4	164840000	172310000	0.2630511761639366
chr4	44480000	44550000	chr4	44880000	44890000	0.011989413207483047
chr4	66140000	73710000	chr4	73710000	73780000	0.9306392607329216
chr4	161760000	161820000	chr4	162140000	162150000	0.5752052899753983
chr5	90960000	91030000	chr5	91030000	104230000	0.23621842704984705
chr5	133280000	133350000	chr5	133350000	134470000	0.2911567020253993
chr5	150170000	150220000	chr5	150360000	150460000	0.057825983084340685
chr5	160640000	161250000	chr5	161250000	161320000	0.9499190952801251
chr6	32930000	32980000	chr6	33150000	33260000	0.47428378332859483
chr6	38850000	38920000	chr6	38920000	46110000	0.8300027244373088
chr6	58350000	58360000	chr6	58500000	58580000	0.0007843657464120511
chr6	58750000	58800000	chr6	58930000	61860000	6.323766141136406e-239
chr6	157600000	157650000	chr6	157780000	158450000	2.1487943877530556e-25
chr6	2020000	2120000	chr6	2240000	2290000	0.002183195678417807
chr6	157370000	157550000	chr6	157600000	157650000	0.0004264772445065781
chr7	61510000	61560000	chr7	61700000	62710000	0.0
chr7	63180000	63190000	chr7	63320000	63380000	0.005206688456133943
chr7	75710000	75720000	chr7	76160000	76300000	4.1759431278464314e-05
chr7	76340000	76350000	chr7	76430000	76600000	5.167028259523649e-20
chr7	98480000	98530000	chr7	98590000	98710000	0.0009224235441104741
chr7	108560000	108570000	chr7	108960000	109030000	0.5151894146166547
chr7	153510000	153520000	chr7	153620000	153730000	7.96956555953211e-12
chr7	33920000	36750000	chr7	36750000	36820000	0.9124957030304498
chr7	64640000	64880000	chr7	65030000	65080000	4.036678505012469e-09
chr8	33190000	33200000	chr8	33440000	33500000	0.1748422361955781
chr8	145210000	145260000	chr8	145520000	145670000	8.778233228619153e-15
chr8	46920000	47020000	chr8	47380000	47430000	0.06570117926467182
chr8	48660000	48750000	chr8	48830000	48860000	5.253585962181742e-06
chr8	140320000	140510000	chr8	140570000	140620000	0.005875062813417905
chr8	144490000	145130000	chr8	145220000	145270000	8.159551035445402e-13
chr8	145490000	145580000	chr8	145730000	145760000	2.162968005791909e-06
chr9	99440000	99470000	chr9	99570000	99660000	0.0031973344728414674
chr10	38560000	38590000	chr10	38940000	39140000	0.0003811403512627888
chr10	114070000	114170000	chr10	114260000	114310000	0.04832037082545083
chr10	124230000	124290000	chr10	124700000	124710000	0.15237565315205856
chr10	134020000	134080000	chr10	134250000	134260000	0.03358190744823935
chr10	134940000	135060000	chr10	135400000	135410000	0.006390632881465515
chr11	19400000	19450000	chr11	19450000	22890000	0.18827078568415104
chr11	94310000	94370000	chr11	94370000	98060000	0.17928887992401762
chr11	106550000	106620000	chr11	106620000	107150000	0.6425519470525726
chr11	125310000	125380000	chr11	125380000	125590000	0.9616227614132389
chr11	65710000	65800000	chr11	66040000	66070000	0.5123120666760996
chr11	119660000	123680000	chr11	123680000	123740000	0.27998915172745503
chr12	77070000	77140000	chr12	77140000	88920000	0.4959796651928411
chr12	14400000	24210000	chr12	24210000	24280000	0.1693797852965597
chr12	38090000	38240000	chr12	38400000	38450000	0.004338858451276488
chr12	62570000	68490000	chr12	68490000	68560000	0.9306392607329216
chr13	114610000	114660000	chr13	114770000	114870000	0.0304979673623935
chr13	114520000	114630000	chr13	114730000	114760000	7.703053347468904e-06
chr14	20140000	20260000	chr14	20410000	20440000	3.584465996843536e-05
chr15	83210000	83270000	chr15	83380000	83390000	0.003418163954689104
chr15	84360000	84800000	chr15	84900000	84950000	2.1256618361242843e-08
chr16	28330000	28360000	chr16	28510000	28610000	0.0011948908842080834
chr16	66230000	66300000	chr16	66300000	73620000	0.8712617037591472
chr16	52870000	57480000	chr16	57480000	57540000	0.16224969196953784
