#chr1	x1	x2	chr2	y1	y2	P_val
chr4	2200000	2250000	chr4	2400000	2510000	0.008553775646528077
chr4	2740000	2790000	chr4	2890000	2990000	0.0015867515481277586
chr4	8460000	8510000	chr4	8540000	8640000	0.1137651091140622
chr4	21760000	21810000	chr4	22340000	22440000	0.003957611899759933
chr4	22770000	22780000	chr4	23320000	23380000	0.17799621964714163
chr4	38870000	38920000	chr4	39100000	39210000	0.00047622762560154476
chr4	59080000	59090000	chr4	59430000	59490000	0.0009605245867950146
chr4	86900000	86950000	chr4	87010000	87170000	3.002532714267074e-20
chr4	95930000	95940000	chr4	96360000	96420000	0.0014731242952061151
chr4	96090000	96100000	chr4	96140000	96200000	0.02753676599483058
chr4	109400000	109450000	chr4	109760000	109870000	0.0005223386599784062
chr4	109990000	110040000	chr4	110280000	110380000	0.0014510240738253293
chr4	110810000	110910000	chr4	110910000	111350000	0.785651574803139
chr4	112310000	112360000	chr4	112490000	112600000	1.8910850472088657e-06
chr4	126830000	126940000	chr4	126940000	127540000	0.785651574803139
chr4	145210000	145260000	chr4	145530000	145640000	0.0031323455112196924
chr4	164750000	164800000	chr4	164950000	165080000	0.000983598398048008
chr4	173000000	173050000	chr4	173220000	173340000	8.619063458468419e-08
chr4	6690000	6790000	chr4	6850000	6900000	1.9870874336321556e-05
chr4	8180000	8290000	chr4	8380000	8430000	0.013847847276556328
chr4	9680000	9800000	chr4	10000000	10050000	8.614675433745413e-05
chr4	12690000	12880000	chr4	13520000	13590000	0.0004587023975037887
chr4	22360000	22460000	chr4	22660000	22710000	0.03534117697073062
chr4	26410000	26510000	chr4	26990000	27040000	0.06773017317373002
chr4	27450000	27960000	chr4	27960000	28070000	0.20771927983716604
chr4	40070000	40240000	chr4	40290000	40340000	1.5207714664318185e-09
chr4	40900000	41020000	chr4	41190000	41240000	1.9281042641363482e-10
chr4	48100000	48220000	chr4	48250000	48300000	2.430959129777722e-10
chr4	49070000	49120000	chr4	49120000	49150000	4.2428839022021245e-24
chr4	53870000	53970000	chr4	54200000	54250000	0.000670751039738323
chr4	67060000	67130000	chr4	67800000	67810000	0.0010749775650085193
chr4	77340000	77440000	chr4	77580000	77630000	0.004040301675805811
chr4	81390000	81490000	chr4	81820000	81870000	0.0017878817914094573
chr4	83010000	83120000	chr4	83250000	83300000	2.10405488055808e-11
chr4	88160000	88270000	chr4	88490000	88540000	0.00021678858029033408
chr4	94360000	94470000	chr4	94570000	94620000	1.146638980219913e-06
chr4	110520000	111300000	chr4	111300000	111390000	0.5883779720947747
chr4	122690000	122810000	chr4	122890000	122940000	4.0219571120630996e-07
chr4	129530000	130640000	chr4	130640000	130740000	0.723164443009261
