#chr1	x1	x2	chr2	y1	y2	P_val
chr2	6880000	6930000	chr2	6990000	7100000	0.005446727650794258
chr2	9790000	9840000	chr2	9960000	10070000	0.0032264879842469254
chr2	10110000	10160000	chr2	10380000	10490000	1.6838882868477465e-06
chr2	16610000	16640000	chr2	16710000	16790000	3.1322561009665296e-09
chr2	20110000	20160000	chr2	20180000	20280000	0.0006571325912222385
chr2	20640000	20690000	chr2	20930000	21050000	3.5800344616153196e-05
chr2	23800000	23850000	chr2	24020000	24130000	0.0004707726364324744
chr2	27060000	27130000	chr2	27210000	27330000	0.3311632897737935
chr2	28560000	28610000	chr2	28750000	28870000	0.013473209289402144
chr2	37380000	37430000	chr2	37800000	37910000	3.574373875170472e-13
chr2	39030000	39100000	chr2	39140000	39280000	3.5688540820029353e-06
chr2	41840000	41890000	chr2	42030000	42130000	8.700540125835909e-11
chr2	42070000	42120000	chr2	42280000	42380000	0.015314548076249506
chr2	44950000	45000000	chr2	45470000	45600000	0.0002555135739950345
chr2	45620000	45670000	chr2	45860000	45990000	1.531374893215523e-05
chr2	48090000	48140000	chr2	48370000	48470000	4.1432002602536986e-10
chr2	54500000	54550000	chr2	54640000	54740000	3.05755966483424e-06
chr2	64020000	64070000	chr2	64490000	64590000	0.05776290658344167
chr2	64310000	64360000	chr2	64440000	64590000	0.0006096982146062925
chr2	64900000	64930000	chr2	64990000	65080000	1.3551554932709468e-14
chr2	69720000	69750000	chr2	69770000	69860000	1.5987493869457925e-25
chr2	69890000	69940000	chr2	70050000	70260000	3.016106861088869e-14
chr2	71280000	71330000	chr2	71430000	71540000	0.00453120503280008
chr2	74210000	74260000	chr2	74340000	74450000	0.00031975592196357495
chr2	86180000	86230000	chr2	86360000	86470000	0.0002956845710951895
chr2	88570000	88600000	chr2	88630000	88710000	1.4541719783699736e-10
chr2	89010000	89060000	chr2	90110000	90250000	5.005172751075894e-36
chr2	96400000	96410000	chr2	96480000	96560000	4.5076884069020805e-06
chr2	98390000	98440000	chr2	98530000	98640000	3.1668565634897967e-07
chr2	105090000	105140000	chr2	105200000	105310000	3.885546161631546e-05
chr2	112720000	112770000	chr2	112860000	112990000	4.800555872967421e-16
chr2	117800000	117850000	chr2	117930000	118030000	0.02720488268381836
chr2	118860000	118910000	chr2	119250000	119350000	0.03568008566914031
chr2	133860000	133910000	chr2	134410000	134510000	0.28811426550851355
chr2	134090000	134140000	chr2	134370000	134480000	0.005251548007884143
chr2	143090000	143140000	chr2	143200000	143310000	4.51256801086978e-06
chr2	151260000	151290000	chr2	151400000	151480000	0.00013900872833236765
chr2	157290000	157340000	chr2	157430000	157570000	3.393204551613756e-06
chr2	168320000	168370000	chr2	168690000	168820000	5.9878069137632144e-06
chr2	177140000	177190000	chr2	177260000	177360000	0.0009196778061378269
