#chr1	x1	x2	chr2	y1	y2	P_val
chr1	980000	1030000	chr1	1140000	1420000	2.079437213489383e-11
chr1	2180000	2210000	chr1	2470000	2550000	0.0927795884788283
chr1	6470000	6520000	chr1	6590000	6720000	0.0012163954407187704
chr1	6690000	6740000	chr1	6820000	7250000	2.1631448684554172e-14
chr1	7630000	7680000	chr1	7870000	7970000	0.14351501716842485
chr1	8550000	8600000	chr1	8670000	8830000	0.0032493661382787652
chr1	10210000	10240000	chr1	10310000	10420000	7.000883658795822e-05
chr1	10480000	10530000	chr1	10650000	11020000	2.6745509548152095e-20
chr1	14570000	14580000	chr1	14690000	14870000	0.0002616252137198139
chr1	14760000	14790000	chr1	14860000	15120000	1.4161642120137729e-05
chr1	15780000	15830000	chr1	15880000	16320000	5.19759188768602e-50
chr1	16050000	16100000	chr1	16190000	16330000	0.0024206001274100935
chr1	18880000	18930000	chr1	18980000	19450000	1.9808327414920272e-86
chr1	20190000	20240000	chr1	20410000	20510000	0.20669779562865612
chr1	21230000	21280000	chr1	21360000	21630000	5.4974792708089277e-08
chr1	21530000	21540000	chr1	21610000	22080000	5.220528271206112e-14
chr1	22670000	22720000	chr1	22870000	22980000	0.04033313814785508
chr1	22940000	22990000	chr1	23170000	23330000	0.021672988130935433
chr1	23910000	23920000	chr1	24010000	24190000	9.705718304560643e-05
chr1	24380000	24410000	chr1	24510000	24740000	9.11592391002848e-09
chr1	26590000	26640000	chr1	26740000	26870000	0.03146633822764929
chr1	27360000	27410000	chr1	27530000	27690000	1.6427527649630387e-13
chr1	28640000	28670000	chr1	28740000	28950000	2.983865368025489e-10
chr1	28840000	28890000	chr1	29040000	29180000	0.10771421391472316
chr1	30770000	30820000	chr1	31070000	31290000	0.001116849484260208
chr1	30910000	30920000	chr1	31020000	31390000	1.376166307031266e-16
chr1	31160000	31210000	chr1	31290000	31800000	3.5006696022933724e-10
chr1	31380000	31410000	chr1	31580000	31680000	0.031544668044466775
chr1	32410000	32420000	chr1	32510000	33160000	2.9803365355917706e-35
chr1	33120000	33150000	chr1	33240000	33340000	0.011358567180634693
chr1	33610000	33660000	chr1	33750000	34160000	3.7496545594672224e-10
chr1	34440000	34470000	chr1	34540000	34760000	2.034827770424844e-06
chr1	34830000	34880000	chr1	35150000	35390000	4.6158399677800154e-05
chr1	35180000	35230000	chr1	35300000	35560000	1.7712010889181618e-05
chr1	35540000	35590000	chr1	35740000	35840000	0.15903317591278843
