#chr1	x1	x2	chr2	y1	y2	P_val
chr1	800000	850000	chr1	880000	2420000	0.0
chr1	2190000	2220000	chr1	2510000	2620000	1.4880117875691967e-10
chr1	2380000	2430000	chr1	2510000	2680000	2.1442307766746677e-15
chr1	2620000	2630000	chr1	3080000	3140000	0.018176897153847443
chr1	6230000	6300000	chr1	6300000	6500000	6.642715367329123e-19
chr1	7640000	7690000	chr1	7870000	7970000	0.004805294314151059
chr1	7980000	8050000	chr1	8250000	8410000	4.44489395140242e-47
chr1	8530000	8580000	chr1	8670000	8900000	2.879101310812976e-12
chr1	9070000	9140000	chr1	9170000	9300000	3.1957319517298193e-08
chr1	9250000	9300000	chr1	9430000	9560000	6.6074636476330044e-40
chr1	9600000	9650000	chr1	9670000	9770000	7.286723823256509e-10
chr1	10480000	10530000	chr1	10860000	11040000	3.948648269922349e-35
chr1	11010000	11060000	chr1	11240000	11420000	2.864147300755814e-10
chr1	12090000	12160000	chr1	12160000	12290000	9.8392813552291e-23
chr1	13220000	13290000	chr1	13390000	15070000	0.0
chr1	13640000	13690000	chr1	13750000	13880000	1.6047037353935532e-29
chr1	13820000	13850000	chr1	13920000	14000000	5.844545583921689e-11
chr1	15110000	15160000	chr1	15230000	15360000	1.5200486927180249e-69
chr1	15290000	15340000	chr1	15440000	15550000	3.6476464610763016e-07
chr1	15790000	15840000	chr1	15910000	16070000	1.1635034445537868e-58
chr1	16060000	16110000	chr1	16130000	16420000	7.519465195194402e-33
chr1	18580000	18630000	chr1	18780000	18890000	1.13263370742301e-08
chr1	18870000	18920000	chr1	19060000	19160000	8.049854779452262e-05
chr1	19890000	19940000	chr1	20120000	20250000	4.686787505120134e-21
chr1	20200000	20250000	chr1	20420000	20540000	1.6980433017118527e-22
chr1	20490000	20540000	chr1	20630000	20740000	2.2013548851459132e-06
chr1	22660000	22710000	chr1	22870000	23000000	2.276646928983773e-19
chr1	24180000	24230000	chr1	24320000	24450000	8.855657721591729e-32
chr1	24390000	24420000	chr1	24590000	24670000	4.661833816531874e-05
chr1	24810000	24880000	chr1	25130000	25260000	0.002160685643791191
chr1	26250000	26300000	chr1	26310000	26450000	1.8782134007495476e-15
chr1	26590000	26640000	chr1	26660000	26860000	2.822309725394049e-81
chr1	27090000	27120000	chr1	27240000	27330000	1.2028842652489377e-22
chr1	27360000	27430000	chr1	27530000	27670000	0.0033936474584327875
chr1	27840000	27870000	chr1	27900000	28030000	9.650876635165944e-83
chr1	28080000	28110000	chr1	28150000	28250000	5.016458263477763e-34
chr1	28230000	28280000	chr1	28320000	28420000	7.845095778242246e-06
chr1	28490000	28540000	chr1	28580000	28680000	6.200688049532659e-08
chr1	31420000	31450000	chr1	31500000	31580000	4.0700093421273913e-13
chr1	32190000	32240000	chr1	32280000	32390000	1.5173990858753855e-11
chr1	32510000	32540000	chr1	32600000	32720000	5.43795861660748e-19
chr1	32920000	32970000	chr1	32980000	33120000	1.2978761586614426e-52
chr1	34440000	34490000	chr1	34540000	34650000	1.392555411851209e-18
chr1	36300000	36370000	chr1	36370000	36490000	9.773054199560718e-12
chr1	39070000	39120000	chr1	39420000	39630000	1.1792246313133791e-09
chr1	39800000	39850000	chr1	39870000	40070000	2.2001059181525515e-28
chr1	40140000	40190000	chr1	40250000	40360000	5.704509452395156e-10
chr1	41560000	41590000	chr1	41800000	41930000	6.31168749386264e-19
chr1	42330000	42360000	chr1	42630000	42780000	5.172979698548233e-09
chr1	42890000	42920000	chr1	43040000	43120000	6.439755877986481e-15
chr1	43210000	43260000	chr1	43320000	43490000	2.503402930672066e-58
chr1	43520000	43550000	chr1	43910000	44090000	5.296747388434329e-15
chr1	43740000	43790000	chr1	43860000	43990000	7.089810555350783e-35
chr1	44370000	44400000	chr1	44550000	44630000	1.065781285942073e-09
chr1	44990000	45040000	chr1	45250000	45370000	2.0399781491991982e-23
chr1	45320000	45370000	chr1	45480000	45590000	1.2737722743490114e-05
chr1	46010000	46060000	chr1	46140000	46270000	5.17436372813162e-55
chr1	49030000	49040000	chr1	49270000	49330000	1.7231620264740282e-11
chr1	50340000	50390000	chr1	50670000	50820000	5.3332884239877427e-14
chr1	51870000	51920000	chr1	51950000	52070000	3.648934814432677e-27
chr1	53250000	53300000	chr1	53330000	53460000	1.8206943721663065e-23
chr1	53840000	53910000	chr1	53910000	54040000	3.745628460935842e-23
chr1	58730000	58780000	chr1	59660000	59780000	1.8458300152482474e-17
chr1	60470000	60480000	chr1	60520000	60580000	7.085302677687089e-09
chr1	64830000	64880000	chr1	64980000	65090000	2.0200811928676243e-09
chr1	65940000	65990000	chr1	66180000	66300000	4.52695415833063e-22
chr1	66240000	66290000	chr1	66310000	66500000	2.1463419662362853e-113
chr1	68100000	68150000	chr1	68290000	68420000	9.880709693268323e-12
chr1	68590000	68600000	chr1	68830000	69000000	4.0054777321778866e-26
chr1	68670000	68740000	chr1	69240000	69410000	2.6478493387915177e-07
chr1	68930000	69000000	chr1	69000000	69830000	1.808011665732163e-240
chr1	69070000	69080000	chr1	69080000	70170000	1.21063716686e-313
chr1	69550000	69560000	chr1	69600000	69710000	7.482499511011978e-16
chr1	71720000	71730000	chr1	71920000	71980000	0.027532457225807848
chr1	72770000	72800000	chr1	73010000	73130000	4.517515247862093e-14
chr1	78130000	78200000	chr1	78510000	78650000	3.5712253822775195e-14
chr1	78580000	78650000	chr1	78660000	78970000	4.583188951705504e-30
chr1	80340000	80410000	chr1	80450000	81370000	5.931413581081306e-278
chr1	80500000	80510000	chr1	80730000	81050000	1.9008950243891784e-32
chr1	80640000	80670000	chr1	80720000	80960000	6.643082329362719e-23
chr1	81250000	81300000	chr1	82350000	82460000	0.0883024856742097
chr1	82390000	82400000	chr1	82480000	82540000	4.428776264353595e-15
chr1	83280000	83310000	chr1	83470000	84040000	0.0
chr1	84130000	84180000	chr1	84200000	84480000	1.8028337114483347e-90
chr1	84420000	84470000	chr1	84690000	84820000	1.533323389525947e-16
chr1	84620000	84650000	chr1	84720000	84800000	1.1516023934899355e-07
chr1	84920000	84970000	chr1	85010000	85160000	7.675269088515665e-30
