#chr1	x1	x2	chr2	y1	y2	P_val
chr11	6375000	6390000	chr11	6675000	6740000	0.0029857459252690026
chr11	6530000	6535000	chr11	6630000	6665000	0.2840135332918206
chr11	7570000	7585000	chr11	7635000	7675000	0.026499824603611753
chr11	9160000	9175000	chr11	9390000	9480000	0.013849155068086183
chr11	9755000	9770000	chr11	9960000	10035000	0.0013741102870069477
chr11	10410000	10425000	chr11	10475000	10525000	0.16731748936668153
chr11	13955000	13970000	chr11	14190000	14285000	0.11389678356925616
chr11	16945000	16960000	chr11	17025000	17120000	0.005020701175788309
chr11	17385000	17400000	chr11	17460000	17540000	0.0001898365343931688
chr11	17600000	17615000	chr11	17715000	17755000	0.40796147903589264
chr11	18535000	18550000	chr11	18740000	18790000	0.6590627149376742
chr11	19555000	19570000	chr11	19840000	19880000	0.035944432294825975
chr11	19945000	19960000	chr11	20065000	20115000	0.34411505979465623
chr11	25975000	25990000	chr11	26220000	26280000	0.06213940947475217
chr11	27695000	27710000	chr11	28055000	28110000	0.07913454935006085
chr11	33160000	33175000	chr11	33275000	33320000	0.13809475519444803
chr11	33355000	33370000	chr11	33690000	33780000	1.240825718208792e-08
chr11	33850000	33865000	chr11	33950000	34030000	0.022143400479531086
chr11	34580000	34595000	chr11	34845000	34885000	0.7103474426832974
chr11	34920000	34935000	chr11	35345000	35405000	0.10662064421193482
chr11	36290000	36305000	chr11	36435000	36485000	0.17133832647462183
chr11	36560000	36575000	chr11	36695000	36755000	0.2607956609577222
chr11	43890000	43905000	chr11	44035000	44090000	0.037818749908356986
chr11	44555000	44570000	chr11	44650000	44685000	0.260283548214737
chr11	45105000	45120000	chr11	45300000	45335000	0.2127111511708019
chr11	46235000	46250000	chr11	46310000	46395000	0.00011781058298578737
chr11	46385000	46400000	chr11	46510000	46555000	0.14336662361351385
chr11	47175000	47190000	chr11	47275000	47340000	6.638723614592771e-05
chr11	56835000	56850000	chr11	57245000	57280000	0.16554190182866999
chr11	62900000	62915000	chr11	63220000	63295000	0.053067364760575594
chr11	63475000	63490000	chr11	63600000	63700000	0.007450414533930443
chr11	63830000	63845000	chr11	63935000	64005000	8.259935374088393e-05
chr11	65705000	65720000	chr11	65795000	65880000	8.25703920246596e-05
chr11	66690000	66705000	chr11	66805000	66870000	0.3252475930520814
chr11	67505000	67520000	chr11	67575000	67615000	0.06820711336182624
chr11	69910000	69925000	chr11	70120000	70195000	0.0715219258623632
chr11	69985000	70000000	chr11	70085000	70120000	0.4143400879685547
chr11	70460000	70475000	chr11	70745000	70825000	0.0019945555189625616
chr11	72470000	72485000	chr11	72650000	72715000	0.05617286859165349
chr11	72585000	72600000	chr11	72650000	72695000	0.008146397218755442
chr11	72820000	72835000	chr11	73225000	73280000	0.1749071540520761
chr11	73965000	73980000	chr11	74140000	74190000	0.4589722910632776
chr11	74250000	74265000	chr11	74460000	74500000	0.4886270783557474
chr11	75140000	75155000	chr11	75205000	75255000	0.011846646407258979
chr11	75890000	75905000	chr11	76170000	76230000	0.07137348439147588
chr11	78640000	78655000	chr11	78805000	78885000	0.1954628083188046
chr11	93235000	93250000	chr11	93580000	93705000	3.305000754418271e-09
chr11	94620000	94635000	chr11	94895000	94940000	0.4742289389285261
chr11	111600000	111615000	chr11	111735000	111835000	2.1344635396938433e-06
chr11	112280000	112295000	chr11	112535000	112580000	0.10436499063076361
chr11	117815000	117830000	chr11	118050000	118105000	0.2277183868526008
chr11	118195000	118210000	chr11	118285000	118345000	0.01920545600393614
chr11	120510000	120525000	chr11	120705000	120765000	0.08688052329163552
chr11	121320000	121335000	chr11	121425000	121460000	0.8690202488438075
chr11	121655000	121670000	chr11	122040000	122090000	0.03916948563044303
chr11	124665000	124680000	chr11	124750000	124830000	0.0075509295121081
chr11	125090000	125105000	chr11	125365000	125415000	0.006595743169016606
chr11	125920000	125935000	chr11	126140000	126210000	0.00835767620641666
chr11	128285000	128300000	chr11	128455000	128620000	3.0254598257466535e-06
chr11	129360000	129375000	chr11	129680000	129765000	5.1335743364402595e-05
chr11	129925000	129940000	chr11	130050000	130110000	0.2815051313257025
chr11	130430000	130445000	chr11	130830000	130925000	4.624236211245777e-12
chr11	880000	930000	chr11	1050000	1055000	0.2918310626490116
chr11	3850000	3915000	chr11	4060000	4075000	0.0374824533201557
chr11	8215000	8270000	chr11	8555000	8570000	0.01650374597277907
chr11	10475000	10670000	chr11	10730000	10745000	7.213867528176029e-13
chr11	10775000	10850000	chr11	10925000	10940000	0.0002771086609484331
chr11	11225000	11300000	chr11	11780000	11795000	0.563497857985211
chr11	11975000	12035000	chr11	12275000	12290000	0.137515721499036
chr11	12310000	12425000	chr11	12890000	12905000	0.20005309801635812
chr11	13890000	13955000	chr11	14240000	14255000	0.008906427803611661
chr11	14295000	14330000	chr11	14450000	14465000	0.3483575148643774
chr11	14500000	14550000	chr11	14635000	14650000	0.29823065143851296
chr11	14930000	14965000	chr11	15065000	15080000	0.328046489681913
chr11	17705000	17800000	chr11	17970000	17985000	0.006140430504860434
chr11	19755000	19800000	chr11	19890000	19905000	0.19549707009664094
chr11	20370000	20415000	chr11	20605000	20620000	0.1553723544076255
chr11	26290000	26350000	chr11	26645000	26660000	0.055983733926272546
chr11	27205000	27245000	chr11	27475000	27490000	0.012845504182851976
chr11	33810000	33850000	chr11	33980000	33995000	0.06262365146243434
chr11	34065000	34205000	chr11	34350000	34365000	7.363864758568991e-12
chr11	34925000	34980000	chr11	35385000	35400000	0.14650056678167583
chr11	44075000	44130000	chr11	44535000	44550000	0.031298730876304574
chr11	44575000	44655000	chr11	44900000	44915000	0.009564620515373738
chr11	44885000	44950000	chr11	45100000	45115000	0.00036735459658251204
chr11	45320000	45370000	chr11	45770000	45785000	0.07612903465649931
chr11	45940000	45990000	chr11	46110000	46125000	0.22484705697277682
chr11	46855000	46915000	chr11	47145000	47160000	0.09368904885423197
chr11	47190000	47240000	chr11	47350000	47365000	0.013467488359296021
chr11	47735000	47985000	chr11	48105000	48120000	1.8517376152470146e-11
chr11	57515000	57585000	chr11	57635000	57650000	5.302138730002719e-05
chr11	59170000	59280000	chr11	59425000	59440000	0.00026161068941586756
chr11	61445000	61495000	chr11	61625000	61640000	0.10409120770632452
chr11	62380000	62460000	chr11	62540000	62555000	0.00040080634102661366
chr11	62865000	62950000	chr11	63015000	63030000	3.256314421342581e-07
chr11	63030000	63070000	chr11	63205000	63220000	0.11386291532746287
chr11	63970000	64060000	chr11	64145000	64160000	3.006638525613737e-05
chr11	64325000	64375000	chr11	64640000	64655000	0.38828405060019455
chr11	65340000	65400000	chr11	65510000	65525000	0.009297857252959939
chr11	66375000	66475000	chr11	66675000	66690000	9.992358041702792e-07
chr11	66365000	66450000	chr11	66830000	66845000	0.001187782259392867
chr11	67580000	67630000	chr11	67795000	67810000	0.016574182850388742
chr11	68280000	68320000	chr11	68375000	68390000	0.07512117813856539
chr11	69375000	69440000	chr11	69630000	69645000	0.027925736443322174
chr11	70810000	70955000	chr11	71055000	71070000	0.06905130196239027
chr11	72455000	72495000	chr11	72570000	72585000	0.13959706453242696
chr11	73340000	73410000	chr11	73655000	73670000	0.0016476502100555715
chr11	74590000	74655000	chr11	74725000	74740000	0.021066555865774286
chr11	75265000	75325000	chr11	75375000	75390000	0.00011898312939584837
chr11	75380000	75460000	chr11	75525000	75540000	4.7672736105093464e-08
chr11	76160000	76200000	chr11	76315000	76330000	0.18950642841178786
chr11	76760000	76795000	chr11	76905000	76920000	0.573451370614338
chr11	78230000	78275000	chr11	78410000	78425000	0.36675110546375644
chr11	86545000	86580000	chr11	86810000	86825000	0.6267734388441688
chr11	86940000	87025000	chr11	87275000	87290000	4.472636615425899e-05
chr11	88260000	88310000	chr11	88535000	88550000	0.18588672376254547
chr11	93235000	93275000	chr11	93530000	93545000	0.7752608372117805
chr11	102330000	102410000	chr11	102490000	102505000	0.04490532088929337
chr11	103200000	103290000	chr11	103595000	103610000	0.03006973747102479
chr11	108120000	108300000	chr11	108645000	108660000	2.9787045433415256e-08
chr11	110200000	110265000	chr11	110360000	110375000	0.028367000283325637
chr11	115305000	115365000	chr11	115495000	115510000	0.020406295948289136
chr11	116840000	116920000	chr11	117095000	117110000	2.0368076137775276e-07
chr11	117810000	117855000	chr11	117935000	117950000	0.061182515074370614
chr11	117915000	117975000	chr11	118040000	118055000	0.07539383423982236
chr11	118155000	118220000	chr11	118285000	118300000	5.960313057253585e-06
chr11	119030000	119130000	chr11	119190000	119205000	1.098931061233803e-10
chr11	119000000	119050000	chr11	119330000	119345000	0.2139921636349636
chr11	119300000	119400000	chr11	119465000	119480000	4.138060761044641e-09
chr11	122175000	122250000	chr11	122490000	122505000	0.03581458674066027
chr11	122600000	122705000	chr11	122775000	122790000	8.212513395270272e-08
chr11	122860000	122925000	chr11	123015000	123030000	0.002361955297846057
chr11	123065000	123160000	chr11	123240000	123255000	0.09101109047265538
chr11	123525000	123575000	chr11	123705000	123720000	0.025508908861809877
chr11	125095000	125160000	chr11	125345000	125360000	0.11363221331724248
chr11	125625000	125690000	chr11	125860000	125875000	0.04537422825008352
chr11	128490000	128525000	chr11	128620000	128635000	0.40038593973602576
chr11	131860000	131895000	chr11	132120000	132135000	0.4776306536170386
