#chr1	x1	x2	chr2	y1	y2	P_val
chr1	3970000	4000000	chr1	5220000	19000000	0.0
chr1	5580000	5610000	chr1	5610000	5660000	0.056866793252667185
chr1	5860000	5890000	chr1	7220000	20890000	0.0
chr1	6000000	6010000	chr1	6870000	21010000	0.0
chr1	8380000	8410000	chr1	10240000	23410000	0.0
chr1	12860000	12890000	chr1	13120000	13200000	0.30522762961248945
chr1	14550000	14580000	chr1	14580000	14770000	0.00043317325927105105
chr1	15080000	15110000	chr1	16670000	30110000	0.0
chr1	15510000	15540000	chr1	16670000	30540000	0.0
chr1	16340000	16370000	chr1	16370000	16420000	7.100864912646998e-06
chr1	16750000	16780000	chr1	17760000	31780000	0.0
chr1	18080000	18110000	chr1	19220000	33110000	0.0
chr1	22440000	22470000	chr1	24420000	37470000	0.0
chr1	24630000	24660000	chr1	25900000	39660000	0.0
chr1	25540000	25570000	chr1	25570000	25630000	0.143160802906499
chr1	27000000	27030000	chr1	27910000	42030000	0.0
chr1	28030000	28060000	chr1	29460000	43060000	0.0
chr1	29930000	29960000	chr1	31460000	44960000	0.0
chr1	30620000	30650000	chr1	30650000	30700000	9.902258213521407e-08
chr1	32780000	32810000	chr1	34760000	47810000	0.0
chr1	35680000	35690000	chr1	36050000	36170000	0.10869905967431769
chr1	35830000	35860000	chr1	35890000	36100000	5.367574964116048e-09
chr1	36550000	36580000	chr1	36580000	36660000	0.00011244571282860815
chr1	39000000	39030000	chr1	39170000	39270000	0.009908934375169196
chr1	43610000	43640000	chr1	44250000	58640000	0.0
chr1	44490000	44520000	chr1	44520000	59520000	0.0
chr1	58410000	58420000	chr1	58450000	58540000	0.0006814806862239941
chr1	61180000	61190000	chr1	61190000	61270000	0.003954363521690547
chr1	65640000	65670000	chr1	65670000	65720000	0.004257414501668983
chr1	67320000	67330000	chr1	67330000	67420000	0.0032676402067812757
chr1	72730000	72760000	chr1	72760000	72870000	6.670997151628901e-05
chr1	75930000	75960000	chr1	76040000	76140000	0.15945507169960935
chr1	81440000	81450000	chr1	82830000	96450000	0.0
chr1	81940000	81970000	chr1	82050000	82170000	0.14151447448315932
chr1	84720000	84750000	chr1	84890000	84970000	0.0001398490818789323
chr1	88210000	88240000	chr1	88260000	88350000	3.0573107011893704e-36
chr1	92550000	92580000	chr1	93830000	107580000	0.0
chr1	97270000	97300000	chr1	98280000	112300000	0.0
chr1	97500000	97530000	chr1	98320000	112530000	0.0
chr1	99350000	99380000	chr1	100730000	114380000	0.0
chr1	100860000	100890000	chr1	102700000	115890000	0.0
chr1	101290000	101320000	chr1	102990000	116320000	0.0
chr1	102780000	102810000	chr1	102880000	117810000	0.0
chr1	108370000	108400000	chr1	108420000	108510000	0.07292200158391553
chr1	109780000	109810000	chr1	110440000	124810000	0.0
chr1	110170000	110200000	chr1	111650000	125200000	0.0
chr1	111240000	111270000	chr1	111600000	126270000	0.0
chr1	112250000	112280000	chr1	113210000	127280000	0.0
chr1	114780000	114810000	chr1	116600000	129810000	0.0
chr1	118210000	118240000	chr1	119660000	133240000	0.0
chr1	130400000	130410000	chr1	131260000	145410000	0.0
chr1	131360000	131390000	chr1	133340000	146390000	0.0
chr1	139630000	139660000	chr1	139660000	154660000	0.0
chr1	139890000	139920000	chr1	140640000	154920000	0.0
chr1	140130000	140160000	chr1	141590000	155160000	0.0
chr1	142790000	142820000	chr1	144270000	157820000	0.0
chr1	143230000	143260000	chr1	144690000	158260000	0.0
chr1	143420000	143450000	chr1	144610000	158450000	0.0
chr1	146100000	146130000	chr1	147310000	161130000	0.0
chr1	148350000	148380000	chr1	148900000	163380000	0.0
chr1	148530000	148560000	chr1	149380000	163560000	0.0
chr1	151340000	151370000	chr1	151390000	151500000	0.027070846739246972
chr1	156900000	156930000	chr1	157040000	157120000	0.018107777164251954
chr1	160430000	160460000	chr1	160460000	160770000	4.383973275918294e-06
chr1	166190000	166200000	chr1	166240000	166300000	0.019496516809372044
chr1	170900000	170930000	chr1	170930000	171040000	1.3929263349930168e-06
chr1	171070000	171100000	chr1	172370000	186100000	0.0
chr1	171540000	171570000	chr1	172200000	172320000	0.03685311026818153
chr1	173970000	174000000	chr1	174100000	189000000	0.0
chr1	174210000	174240000	chr1	174840000	174920000	0.19146496156606108
chr1	180850000	180880000	chr1	181080000	181230000	0.05046415248060466
chr1	182160000	182190000	chr1	183440000	197190000	0.0
chr1	189640000	189670000	chr1	189670000	189720000	1.6115799704225834e-06
chr1	193440000	193470000	chr1	193800000	193900000	0.019370274731783762
chr1	194900000	194930000	chr1	195360000	209930000	0.0
chr1	4390000	4740000	chr1	4740000	4770000	1.8337359555705737e-15
chr1	-7620000	6040000	chr1	7380000	7410000	0.0
chr1	-6630000	6480000	chr1	8370000	8400000	0.0
chr1	-4130000	9540000	chr1	10870000	10900000	0.0
chr1	-2780000	10550000	chr1	12220000	12230000	0.0
chr1	13260000	13420000	chr1	13570000	13600000	0.0386058315017224
chr1	-1270000	11950000	chr1	13730000	13740000	0.0
chr1	13790000	13880000	chr1	14550000	14580000	0.08054603762446083
chr1	16180000	16310000	chr1	16340000	16370000	1.2691508826081105e-05
chr1	1740000	16500000	chr1	16740000	16770000	0.0
chr1	26630000	26680000	chr1	26680000	26710000	0.0008615399745804934
chr1	12000000	25320000	chr1	27000000	27030000	0.0
chr1	12730000	26550000	chr1	27730000	27760000	0.0
chr1	13020000	26640000	chr1	28020000	28050000	0.0
chr1	14030000	27330000	chr1	29030000	29060000	0.0
chr1	30480000	30630000	chr1	30630000	30660000	4.226441032024736e-10
chr1	15960000	29510000	chr1	30960000	30990000	0.0
chr1	42870000	42990000	chr1	43040000	43070000	0.0063780808406511775
chr1	29490000	44490000	chr1	44490000	44520000	0.0
chr1	31540000	46540000	chr1	46540000	46570000	0.0
chr1	32490000	46770000	chr1	47490000	47520000	0.0
chr1	33250000	46840000	chr1	48250000	48280000	0.0
chr1	51460000	51540000	chr1	51580000	51610000	0.13093407670627433
chr1	58010000	58110000	chr1	58280000	58310000	0.013968646578050865
chr1	58510000	58650000	chr1	58720000	58750000	1.8325135502917194e-07
chr1	43850000	58530000	chr1	58850000	58880000	0.0
chr1	64520000	65160000	chr1	65160000	65190000	1.7448354951827888e-09
chr1	65280000	65400000	chr1	65640000	65670000	0.04783981095554232
chr1	67160000	67280000	chr1	67320000	67330000	1.4627573540014824e-05
chr1	86590000	86700000	chr1	87030000	87060000	0.005948520715475466
chr1	87650000	87730000	chr1	87760000	87790000	4.77717681012576e-05
chr1	88200000	88250000	chr1	88250000	88280000	7.92449116589497e-49
chr1	82270000	96360000	chr1	97270000	97300000	0.0
chr1	82500000	95870000	chr1	97500000	97530000	0.0
chr1	83840000	97550000	chr1	98840000	98850000	0.0
chr1	84350000	97520000	chr1	99350000	99380000	0.0
chr1	85150000	98660000	chr1	100150000	100160000	0.0
chr1	85860000	99440000	chr1	100860000	100890000	0.0
chr1	86090000	99620000	chr1	101090000	101120000	0.0
chr1	87770000	100940000	chr1	102770000	102800000	0.0
chr1	88020000	101440000	chr1	103020000	103050000	0.0
chr1	89190000	103560000	chr1	104190000	104220000	0.0
chr1	107670000	107750000	chr1	107840000	107850000	0.00022068085943673888
chr1	97260000	110770000	chr1	112260000	112290000	0.0
chr1	97850000	112410000	chr1	112850000	112880000	0.0
chr1	98330000	112410000	chr1	113330000	113360000	0.0
chr1	125010000	125120000	chr1	125150000	125180000	0.0642093387352874
chr1	128280000	128390000	chr1	128810000	128840000	0.13736556501693542
chr1	134130000	134210000	chr1	134750000	134780000	0.19807786549263362
chr1	137060000	137690000	chr1	137690000	137700000	6.532160931843494e-27
chr1	124630000	139630000	chr1	139630000	139660000	0.0
chr1	125110000	140000000	chr1	140110000	140140000	0.0
chr1	125890000	139960000	chr1	140890000	140920000	0.0
chr1	126560000	140140000	chr1	141560000	141590000	0.0
chr1	127790000	141050000	chr1	142790000	142820000	0.0
chr1	132790000	146480000	chr1	147790000	147820000	0.0
chr1	133530000	147990000	chr1	148530000	148560000	0.0
chr1	151220000	151300000	chr1	151330000	151360000	0.01296930786941588
chr1	153420000	153580000	chr1	153740000	153750000	3.107358335215183e-06
chr1	154120000	154200000	chr1	154280000	154310000	0.028003353257553956
chr1	162170000	162250000	chr1	162280000	162310000	0.12450141323819897
chr1	156050000	169780000	chr1	171050000	171080000	0.0
chr1	174100000	174210000	chr1	174210000	174240000	0.009268448307503615
chr1	179500000	179610000	chr1	179610000	179640000	0.002029268606362593
chr1	184480000	184670000	chr1	184710000	184740000	0.0003634690977031523
chr2	14350000	14380000	chr2	15140000	29380000	0.0
chr2	17010000	17040000	chr2	17150000	17250000	0.028016939835541026
chr2	19970000	19980000	chr2	19990000	20140000	0.0023585288858034
chr2	23450000	23480000	chr2	25260000	38480000	0.0
chr2	29780000	29810000	chr2	29970000	30060000	0.0017132025510118044
chr2	30240000	30270000	chr2	30270000	30460000	2.0962547700512279e-07
chr2	35290000	35320000	chr2	35320000	35400000	0.004870521964281147
chr2	36020000	36050000	chr2	36170000	36270000	0.005950278983592518
chr2	36740000	36770000	chr2	38410000	51770000	0.0
chr2	39650000	39680000	chr2	41030000	54680000	0.0
chr2	42950000	42980000	chr2	44450000	57980000	0.0
chr2	54730000	54760000	chr2	56660000	69760000	0.0
